value,date
469,2018-05-07
215,2018-05-06
239,2018-05-05
722,2018-05-04
475,2018-05-03
497,2018-05-02
572,2018-05-01
440,2018-04-30
450,2018-04-29
302,2018-04-28
441,2018-04-27
628,2018-04-26
425,2018-04-25
539,2018-04-24
546,2018-04-23
279,2018-04-22
26,2018-04-21
535,2018-04-20
485,2018-04-19
810,2018-04-18
587,2018-04-17
452,2018-04-16
33,2018-04-15
5,2018-04-14
405,2018-04-13
558,2018-04-12
25,2018-04-11
549,2018-04-10
611,2018-04-09
157,2018-04-08
18,2018-04-07
462,2018-04-06
561,2018-04-05
400,2018-04-04
403,2018-04-03
551,2018-04-02
191,2018-04-01
130,2018-03-31
751,2018-03-30
462,2018-03-29
275,2018-03-28
701,2018-03-27
812,2018-03-26
195,2018-03-25
60,2018-03-24
389,2018-03-23
417,2018-03-22
281,2018-03-21
305,2018-03-20
340,2018-03-19
129,2018-03-18
23,2018-03-17
607,2018-03-16
689,2018-03-15
653,2018-03-14
505,2018-03-13
492,2018-03-12
63,2018-03-11
437,2018-03-10
498,2018-03-09
511,2018-03-08
307,2018-03-07
432,2018-03-06
579,2018-03-05
13,2018-03-04
529,2018-03-03
106,2018-03-02
454,2018-03-01
359,2018-02-28
487,2018-02-27
578,2018-02-26
105,2018-02-25
144,2018-02-24